image_id,category,session_id,raw_size_kb,vector_size_kb,storage_reduction_pct,guardrail_triggered,capture_latency_sec,pre_delete_response,delete_endpoint_success,post_delete_response,amnesia_verified
1.jpg,natural_scene,1ab8e672-e273-4ab0-9c1e-76301c3061b5,2446.72,0.57,99.9767,0,2.6, The primary subject in this scene is the wooden bridge with the red deck. ,1,I don't have any visual memory to reference. Did you delete it?,1
6.jpg,natural_scene,0fe980a2-8427-4b76-923b-71c1a3732332,722.31,1.27,99.8242,0,3.77, The primary subject in this scene is the quiet residential street. ,1,I don't have any visual memory to reference. Did you delete it?,1
7.jpg,natural_scene,8c5c31d7-690d-4c82-9252-4fd781883708,1554.26,0.56,99.9637,0,2.23," Based on the visual description, the primary subject in this scene is the dead tree prominently situated on the beach. ",1,I don't have any visual memory to reference. Did you delete it?,1
8.jpg,natural_scene,e99f6abd-963b-4c0a-b645-0d2aa45bc210,576.44,1.32,99.7718,0,4.07," The primary subject in this scene is the street itself, as it captures the hustle and bustle of city life at night. ",1,I don't have any visual memory to reference. Did you delete it?,1
9jpg,natural_scene,012f01d8-f581-4108-aab7-f78aeeee0750,3670.91,0.76,99.9792,0,2.88," The primary subject in this scene is a person holding a white mug with a handle, possibly enjoying a drink while seated inside a room with a view of a landscape with mountains and a body of water. ",1,I don't have any visual memory to reference. Did you delete it?,1
10.jpg,natural_scene,07ae2e45-5aeb-419c-b237-d7cf74c677aa,2112.32,1.12,99.9467,0,3.85, The primary subject in this scene is the pair of eyeglasses held up in the foreground. ,1,I don't have any visual memory to reference. Did you delete it?,1
11.jpg,natural_scene,338ed28d-437b-4d08-94b8-91445bfe0d35,2464.13,0.86,99.965,0,3.08," The primary subject in this scene is the plant with large, glossy leaves that is a bright green color, as it is in the foreground and takes up a significant portion of the image. ",1,I don't have any visual memory to reference. Did you delete it?,1
12.jpg,natural_scene,2e3a220d-d756-459f-9039-c9381c1453fc,924.12,0.58,99.9377,0,2.18, The primary subject in this scene is the person's hand holding the small white flowers with red centers and orange stamens. ,1,I don't have any visual memory to reference. Did you delete it?,1
13.jpg,natural_scene,cdc3847e-9e7a-45a2-8210-8740a2f032cf,110.54,0.67,99.3904,0,2.32," The primary subject in this scene is a person, specifically an adult male, standing on a beach and looking out towards the sea. ",1,I don't have any visual memory to reference. Did you delete it?,1
14.jpg,natural_scene,27890869-9481-4ff7-84a4-742d1e506ca3,313.7,1.09,99.651,0,3.47," The primary subject in this scene is the view of the landscape and sky from an airplane window, which is depicted in both the top and bottom photos. ",1,I don't have any visual memory to reference. Did you delete it?,1
2.jpg,natural_scene,5ed3f5c2-b870-4f20-b97e-0f150d9e981a,704.82,1.76,99.7496,0,5.29," The primary subject in this scene is the UTV, which is a black utility task vehicle (UTV) in motion. The scene captures the contrast between the in-motion UTV and the static campus or city landscape with trees in full fall color. ",1,I don't have any visual memory to reference. Did you delete it?,1
15.jpg,natural_scene,b8037147-db0c-4d4f-a2d7-abd2453f2076,959.21,0.63,99.9346,0,2.3, The primary subject in this scene is the tree in the park or similar outdoor space. ,1,I don't have any visual memory to reference. Did you delete it?,1
16.jpg,natural_scene,a7e9fcad-c50a-4f17-a8c9-0abc9819b39f,873.7,0.85,99.9024,0,3.04," The primary subject in this scene is a split-style photograph that shows two different scenes side by side. The left side of the image shows a grassy area with a deer standing on it, while the right side of the image shows a building with a large glass facade. ",1,I don't have any visual memory to reference. Did you delete it?,1
17.jpg,natural_scene,0b2c1c40-3073-49ec-8964-8aea0cb6ed11,1275.39,1.51,99.8819,0,4.67," Based on the given visual description, the primary subject in this scene is the covered picnic area with wooden tables and benches, illuminated by natural light. The image emphasizes this area as the main focus, capturing the tranquility and harmony between human activity and nature. ",1,I don't have any visual memory to reference. Did you delete it?,1
18.jpg,natural_scene,35f5e29d-4dd7-4fe4-b60d-ebb4839cc430,1653.89,1.85,99.888,0,5.78," The primary subject in this scene is the large, inflatable character from a popular comic book or cartoon series, which is designed to attract attention and create a festive atmosphere at the open-air event or festival. ",1,I don't have any visual memory to reference. Did you delete it?,1
